Count,coordinates
17,"[22.7588,75.9548]"
1,"[22.7652,74.5894]"
5,"[22.7676,88.1786]"
1231,"[22.7755,73.6149]"
69,"[22.7778,88.2464]"
1694,"[22.7954,73.2123]"
3,"[22.7993,88.3672]"
28,"[22.8,86.1833]"
1648,"[22.8057,86.1804]"
786,"[22.8205,70.8403]"
259,"[22.8245,88.3384]"
4,"[22.8292,88.3665]"
142,"[22.8392,69.7219]"
11,"[22.8408,77.9247]"
27,"[22.845,88.6569]"
92,"[22.8622,88.368]"
5,"[22.8634,88.4017]"
236,"[22.8833,87.7833]"
16,"[22.893,88.4109]"
34,"[22.8939,92.7463]"
1603,"[22.8973,72.9951]"
63,"[22.9151,79.0705]"
89,"[22.9204,88.3841]"
1,"[22.9254,78.7888]"
30,"[22.935,88.4197]"
48,"[22.9531,78.1495]"
200,"[22.9623,88.4317]"
485,"[22.9644,76.0473]"
63,"[22.9723,88.0948]"
273,"[22.9833,88.4833]"
16,"[22.9901,72.3823]"
13,"[22.9921,72.607]"
704,"[23.0,71.75]"
2,"[23.0002,92.9956]"
1,"[23.0175,76.7221]"
209,"[23.02,73.0741]"
45026,"[23.0276,72.5871]"
14,"[23.0754,78.5088]"
48,"[23.077,88.5269]"
3457,"[23.0803,70.1341]"
1,"[23.0834,73.1752]"
28,"[23.1028,74.1515]"
465,"[23.1034,81.6908]"
3,"[23.1112,72.5747]"
16,"[23.1128,70.0226]"
140,"[23.1181,72.0533]"
71,"[23.1181,83.1921]"
12,"[23.1284,73.6104]"
73,"[23.1685,72.5805]"
2736,"[23.1701,79.957]"
7,"[23.1724,73.7444]"
685,"[23.1791,88.5613]"
829,"[23.1824,75.7764]"
6,"[23.2,84.5833]"
18,"[23.2084,79.9511]"
25,"[23.2122,88.8838]"
940,"[23.2125,82.2042]"
4069,"[23.2167,72.6833]"
14,"[23.2194,88.3629]"
11,"[23.2232,73.2109]"
1,"[23.2322,73.1969]"
295,"[23.2324,87.0716]"
4,"[23.2521,91.4501]"
9077,"[23.2526,77.4045]"
549,"[23.254,69.6693]"
362,"[23.2546,87.8583]"
424,"[23.2657,77.3993]"
18,"[23.2782,73.6567]"
915,"[23.2993,72.337]"
61,"[23.3285,77.7782]"
234,"[23.3303,75.0403]"
1915,"[23.3426,85.3099]"
2,"[23.347,82.2632]"
6,"[23.3741,72.3995]"
17,"[23.3958,85.3529]"
1,"[23.4028,76.7108]"
54,"[23.4058,88.4907]"
28,"[23.4067,88.3686]"
105,"[23.4256,72.6574]"
2,"[23.4265,88.1067]"
2,"[23.4561,87.4472]"
455,"[23.4625,73.2986]"
